Submission ID,Respondent ID,Submitted at,À quelle tranche d'âge appartenez-vous ? ,"As-tu entendu parler de la semaine ""The Olympic Esports Series 2023"" ?",Quelles sont les épreuves que tu connais ?,Quelles sont les épreuves que tu connais ? (Danse (Just Dance)),Quelles sont les épreuves que tu connais ? (Tir à l'arc (Tic Tac Bow)),Quelles sont les épreuves que tu connais ? (Tir (Fortnite)),Quelles sont les épreuves que tu connais ? (Taekwondo (Virtual Taekwondo)),Quelles sont les épreuves que tu connais ? (Cyclisme (Zwift)),Quelles sont les épreuves que tu connais ? (Voile (Virtual Regatta)),Quelles sont les épreuves que tu connais ? (Baseball (Ebaseball : Power pros)),Quelles sont les épreuves que tu connais ? (Tennis (Tennis Clash)),Quelles sont les épreuves que tu connais ? (Moto (Gran Turismo)),Quelles sont les épreuves que tu connais ? (Echec (Chess.com)),Quelles sont les épreuves que tu connais ? (Triathlon (Zwift)),Quelles sont les épreuves que tu connais ? (Aucun),Connaissez-vous cette épreuve en raison de votre pratique du sport en question ou parce que vous l’avez découverte grâce à l’évènement ?,"Quelle a été votre expérience sur ""The Olympic Esports Series 2023"" ?

 [Visionnage (plateforme, fluidité)]","Quelle a été votre expérience sur ""The Olympic Esports Series 2023"" ?

 [Jeux choisies]","Quelle a été votre expérience sur ""The Olympic Esports Series 2023"" ?

 [Communications]","Connais-tu l'e-sport ? 
",Parmi ces jeux lesquels connais-tu?,Parmi ces jeux lesquels connais-tu? (League of Legends),Parmi ces jeux lesquels connais-tu? (Counter Strike),Parmi ces jeux lesquels connais-tu? (Call of Duty),Parmi ces jeux lesquels connais-tu? (Rocket League),Parmi ces jeux lesquels connais-tu? (Dota 2),Parmi ces jeux lesquels connais-tu? (Fortnite),Parmi ces jeux lesquels connais-tu? (Fifa),Parmi ces jeux lesquels connais-tu? (Trackmania),Parmi ces jeux lesquels connais-tu? (Street Fighter),Parmi ces jeux lesquels connais-tu? (Aucun),À quelle fréquence regardes-tu les compétitions ? ,"Pour toi, lequel est le plus attrayant : les sports olympiques traditionnels ou l'e-sport ?
",Penses-tu que le e-sport a sa place dans les JO ? ,Est-ce que tu serais plus enclin à regarder les JO si l’e-sport en faisait partie ?,"Parmi ces athlètes, lesquels connais-tu ?","Parmi ces athlètes, lesquels connais-tu ? (Teddy Riner)","Parmi ces athlètes, lesquels connais-tu ? (Lee Sang-hyeok (Faker))","Parmi ces athlètes, lesquels connais-tu ? (Simone Biles)","Parmi ces athlètes, lesquels connais-tu ? (Serena Williams)","Parmi ces athlètes, lesquels connais-tu ? (Seth Abner (scumperjumper))","Parmi ces athlètes, lesquels connais-tu ? (Choi Woo-je (Zeus))","Parmi ces athlètes, lesquels connais-tu ? (Shelly-Ann Fraser-Pryce)","Parmi ces athlètes, lesquels connais-tu ? (Kyle Storer (Torment))","Parmi ces athlètes, lesquels connais-tu ? (Nikola Kovač (NiKo))","Parmi ces athlètes, lesquels connais-tu ? (Hassiba Boulmerka)","Parmi ces athlètes, lesquels connais-tu ? (Aucun)"
OAzEjR,RD8zdd,2023-10-17 12:29:17,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","Fortnite, Fifa, Trackmania",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Quand je tombe dessus,E-sport,Oui,Oui,"Teddy Riner, Serena Williams, Choi Woo-je (Zeus), Shelly-Ann Fraser-Pryce, Simone Biles, Hassiba Boulmerka",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
GrzbXp,yJelNB,2023-10-17 12:29:49,25-29 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","Fifa, Fortnite, Rocket League, League of Legends, Counter Strike, Call of Duty, Street Fighter",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Quand je tombe dessus,Sport traditionnel,Non,Non,"Teddy Riner, Simone Biles, Serena Williams",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GrzbZL,jlGB91,2023-10-17 12:35:49,15-19 ans,Non,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Fortnite, Fifa, Street Fighter",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Que les grands évènments,E-sport,Oui,Oui,"Lee Sang-hyeok (Faker), Choi Woo-je (Zeus)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9dW4LQ,Z2Pd1e,2023-10-17 12:37:27,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","League of Legends, Counter Strike",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,E-sport,Oui,Non,"Lee Sang-hyeok (Faker), Teddy Riner",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LdbOAv,bWNlY1,2023-10-17 12:37:36,25-29 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Dota 2, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Que les grands évènments,Sport traditionnel,Oui,Oui,"Teddy Riner, Serena Williams, Nikola Kovač (NiKo), Lee Sang-hyeok (Faker)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
EPX6j4,X4Oe2L,2023-10-17 12:37:47,20-24 ans,Oui,"Danse (Just Dance), Tir (Fortnite), Triathlon (Zwift)",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Autre,,,,"Oui, je regarde","League of Legends, Counter Strike, Dota 2, Call of Duty, Rocket League, Fortnite, Fifa, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Que les grands évènments,Sport traditionnel,Non,Peut être,"Teddy Riner, Simone Biles, Serena Williams, Nikola Kovač (NiKo)",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
bl7Aqo,xJ9dz5,2023-10-17 12:38:58,15-19 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","League of Legends, Counter Strike, Call of Duty, Rocket League, Fortnite, Fifa, Trackmania, Street Fighter, Dota 2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,Sport traditionnel,Non,Non,"Teddy Riner, Serena Williams",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Grz7R2,z7WKOR,2023-10-17 12:40:13,20-24 ans,Oui,Aucun,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Autre,,,,"Non, mais je connais","League of Legends, Rocket League, Call of Duty, Counter Strike, Fortnite, Fifa, Street Fighter",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,Sport traditionnel,Oui,Peut être,"Teddy Riner, Simone Biles, Serena Williams",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
VZ0xMj,ME8AZY,2023-10-17 12:43:00,25-29 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Rocket League, Counter Strike, Call of Duty, Dota 2, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Que les grands évènments,E-sport,Oui,Oui,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams, Choi Woo-je (Zeus)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BGX9jK,l6VNEp,2023-10-17 12:44:45,25-29 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Dota 2, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1 à 2 fois par semaine,Sport traditionnel,Oui,Oui,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams, Choi Woo-je (Zeus)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
WANZqN,0eoE4Q,2023-10-17 12:45:52,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","League of Legends, Counter Strike, Call of Duty, Rocket League, Dota 2, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,Sport traditionnel,Non,Non,"Teddy Riner, Lee Sang-hyeok (Faker), Simone Biles, Serena Williams",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
oAyxpV,X4OeZe,2023-10-17 12:46:55,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Rocket League, Call of Duty, Counter Strike, Fifa, Fortnite, Dota 2, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Quand je tombe dessus,E-sport,Oui,Oui,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams, Choi Woo-je (Zeus), Nikola Kovač (NiKo)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
EPXayl,xJ9QD5,2023-10-17 12:51:45,25-29 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","League of Legends, Counter Strike, Call of Duty, Fortnite, Fifa, Street Fighter",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,Sport traditionnel,Non,Non,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams, Hassiba Boulmerka",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
EPXAQN,ro2KVM,2023-10-17 12:55:45,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","Call of Duty, League of Legends, Counter Strike, Rocket League, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,Sport traditionnel,Non,Non,"Teddy Riner, Simone Biles, Serena Williams",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NA6E0W,a2ZxrE,2023-10-17 12:56:59,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Dota 2, Rocket League, Fortnite, Trackmania, Fifa, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1 à 2 fois par semaine,E-sport,Non,Oui,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams, Choi Woo-je (Zeus)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
dY6gKV,o2lBkN,2023-10-17 12:59:20,25-29 ans,Oui,"Taekwondo (Virtual Taekwondo), Moto (Gran Turismo), Echec (Chess.com)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Grâce à l’évènement,,,,"Oui, je regarde","League of Legends, Fortnite, Street Fighter, Fifa, Counter Strike, Call of Duty",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Que les grands évènments,Sport traditionnel,Oui,Oui,"Nikola Kovač (NiKo), Hassiba Boulmerka, Serena Williams, Lee Sang-hyeok (Faker)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
YZQepv,O78PoM,2023-10-17 12:59:20,20-24 ans,Oui,"Danse (Just Dance), Tir (Fortnite), Moto (Gran Turismo), Echec (Chess.com), Triathlon (Zwift)",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Autre,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Trackmania, Street Fighter, Dota 2, Fortnite, Fifa",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Que les grands évènments,E-sport,Oui,Peut être,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams, Seth Abner (scumperjumper), Choi Woo-je (Zeus)",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9dWxyQ,8Zjk5z,2023-10-17 13:02:07,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","Counter Strike, League of Legends, Call of Duty, Rocket League, Dota 2, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Que les grands évènments,Sport traditionnel,Oui,Oui,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams, Choi Woo-je (Zeus)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BGX6lQ,Y4VOyW,2023-10-17 13:02:10,25-29 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","League of Legends, Call of Duty",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,E-sport,Non,Peut être,Serena Williams,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ZdNWby,4KPkRY,2023-10-17 13:03:53,45-49 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais",Aucun,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,E-sport,Oui,Non,"Teddy Riner, Serena Williams",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
YZQeAq,Ex81G4,2023-10-17 13:04:33,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Call of Duty, Counter Strike, Rocket League, Dota 2, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Que les grands évènments,E-sport,Oui,Oui,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams, Choi Woo-je (Zeus)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
QADX1Y,D701Qb,2023-10-17 13:08:08,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","League of Legends, Rocket League, Fortnite, Fifa",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,Sport traditionnel,Oui,Non,"Teddy Riner, Serena Williams, Nikola Kovač (NiKo)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9dWaBE,xJ9QD5,2023-10-17 13:08:08,25-29 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","League of Legends, Counter Strike",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Sport traditionnel,Non,Non,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams, Hassiba Boulmerka",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ZdNgEe,D701gj,2023-10-17 13:08:54,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Fortnite, Fifa",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Que les grands évènments,Sport traditionnel,Oui,Peut être,"Lee Sang-hyeok (Faker), Teddy Riner, Choi Woo-je (Zeus), Serena Williams",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
EPXglB,Bx81PA,2023-10-17 13:09:14,15-19 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Fortnite, Dota 2, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1 à 2 fois par semaine,E-sport,Oui,Peut être,"Teddy Riner, Lee Sang-hyeok (Faker), Choi Woo-je (Zeus)",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
jBypoJ,vPqBQd,2023-10-17 13:09:17,20-24 ans,Oui,"Triathlon (Zwift), Tennis (Tennis Clash), Baseball (Ebaseball : Power pros), Cyclisme (Zwift)",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Grâce à l’évènement,,,,"Non, mais je connais","League of Legends, Counter Strike, Call of Duty, Rocket League, Dota 2, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,E-sport,Non,Non,Aucun,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
9dWaZ5,JO8RNY,2023-10-17 13:09:20,30-34 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","Fifa, Fortnite, Rocket League, Call of Duty, Counter Strike, League of Legends",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,Sport traditionnel,Non,Non,Serena Williams,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Rz0g59,8Zje1o,2023-10-17 13:10:23,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","League of Legends, Counter Strike, Call of Duty, Rocket League, Dota 2, Fortnite, Street Fighter, Fifa, Trackmania",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,E-sport,Non,Peut être,"Teddy Riner, Serena Williams",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1rlxKQ,g9W4aM,2023-10-17 13:11:29,15-19 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","League of Legends, Call of Duty, Rocket League, Fortnite, Fifa",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,Sport traditionnel,Oui,Peut être,"Serena Williams, Nikola Kovač (NiKo), Teddy Riner",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
xdpoPo,GRY0pe,2023-10-17 13:12:48,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Quand je tombe dessus,E-sport,Oui,Oui,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6d79rO,Y4Vd4N,2023-10-17 13:13:50,15-19 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1 à 2 fois par semaine,E-sport,Oui,Oui,"Teddy Riner, Lee Sang-hyeok (Faker)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1rlxDO,bWNOd1,2023-10-17 13:14:12,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","Street Fighter, Trackmania, Fifa, Fortnite, Dota 2, Rocket League, Call of Duty, Counter Strike, League of Legends",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Que les grands évènments,E-sport,Non,Oui,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KM6gRz,jlGxB4,2023-10-17 13:15:57,25-29 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Counter Strike",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 à 2 fois par semaine,E-sport,Oui,Oui,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams, Simone Biles, Choi Woo-je (Zeus), Nikola Kovač (NiKo)",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
jBypRa,GRY0Yj,2023-10-17 13:20:09,25-29 ans,Oui,"Tir à l'arc (Tic Tac Bow), Tir (Fortnite), Tennis (Tennis Clash), Moto (Gran Turismo)",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Autre,,,,"Non, mais je connais","League of Legends, Counter Strike, Call of Duty, Rocket League, Fortnite, Fifa, Street Fighter",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,E-sport,Oui,Oui,Teddy Riner,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dY6VJr,pD4GdZ,2023-10-17 13:34:01,15-19 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Rocket League, Call of Duty, Counter Strike, Fortnite, Street Fighter, Trackmania",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Jamais / regarde les shorts,E-sport,Oui,Non,Aucun,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
rl61lp,2KOLb9,2023-10-17 13:40:48,15-19 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Dota 2, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Que les grands évènments,E-sport,Oui,Oui,Aucun,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
pLK19b,d9Ql1y,2023-10-17 13:46:18,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Dota 2, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Jamais / regarde les shorts,E-sport,Non,Oui,"Teddy Riner, Lee Sang-hyeok (Faker), Choi Woo-je (Zeus)",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
